,Link,Title,Description
23,https://www.google.com/finance?sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQ0pQJKAd6BAgPEAo,,"Google Finance provides real-time market quotes, international exchanges, up-to-date financial news, and analytics to help you make more informed trading and investment decisions."
24,https://www.google.com/setprefs?sig=0_XYas8cm2QiY25AxJKW8T2fEs7s0%3D&prev=https://www.google.com/search?q%3Dinternshala%26sca_esv%3D586961924%26source%3Dhp%26ei%3DwtppZYjQF4-T0PEP_c6agAI%26iflsig%3DAO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1&safeui=on,,
25,https://www.google.com/search?q=internshala&sca_esv=586961924&source=hp&ei=wtppZYjQF4-T0PEP_c6agAI&iflsig=AO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1#,,
26,https://www.google.com/setprefs?sig=0_XYas8cm2QiY25AxJKW8T2fEs7s0%3D&prev=https://www.google.com/search?q%3Dinternshala%26sca_esv%3D586961924%26source%3Dhp%26ei%3DwtppZYjQF4-T0PEP_c6agAI%26iflsig%3DAO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1&safeui=off,,
27,https://www.google.com/safesearch?hl=en-IN&prev=https://www.google.com/search?q%3Dinternshala%26sca_esv%3D586961924%26source%3Dhp%26ei%3DwtppZYjQF4-T0PEP_c6agAI%26iflsig%3DAO6bgOgAAAAAZWno0lHPEutyLobhCeTW5vVbh1Axt1K1&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQ3fwIegQIDxAU,,
28,https://www.google.com/search?q=internshala&sca_esv=586961924&source=lnt&tbs=qdr:h&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQpwV6BAgBEAc,,
29,https://www.google.com/search?q=internshala&sca_esv=586961924&source=lnt&tbs=qdr:d&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQpwV6BAgBEAg,,
30,https://www.google.com/search?q=internshala&sca_esv=586961924&source=lnt&tbs=qdr:w&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQpwV6BAgBEAk,,
31,https://www.google.com/search?q=internshala&sca_esv=586961924&source=lnt&tbs=qdr:m&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQpwV6BAgBEAo,,
32,https://www.google.com/search?q=internshala&sca_esv=586961924&source=lnt&tbs=qdr:y&sa=X&ved=2ahUKEwi-zZWzp-6CAxXKxjgGHXJQAnAQpwV6BAgBEAs,,
